"Fuel","FuelHub","Price"
"FUELOIL_1","FH_ARA",9.6247
"FUELOIL_1","FH_WEST_MED",9.8345
"FREE_FUEL","FH_INTERNATIONAL",0
"COAL","FH_AUSTRIA",2.0205
"COAL","FH_FRANCE",2.0205
"COAL","FH_ARA",2.0205
"NAT_GAS","FH_PEG_SUD",7.7915
"NAT_GAS","FH_PEG_NORD",7.0138
"NAT_GAS","FH_AUSTRIA",6.9228
"NAT_GAS","FH_ZANDVLIETPOWER",6.8655
"NAT_GAS","FH_ZGH",6.8655
"NAT_GAS","FH_PEG_AVG",7.4027
"NAT_GAS","FH_NCG",6.9228
"NAT_GAS","FH_TTF",6.8751
"NUCLEAR","FH_BELGIUM",0.6948
"NUCLEAR","FH_FRANCE",0.6948
"NUCLEAR","FH_GERMANY",0.6948
"NUCLEAR","FH_NETHERLANDS",0.6948
"GASOIL","FH_NWE",13.6721
"GASOIL","FH_WEST_MED",13.7958
"BIOMASS","FH_BELGIUM",0
"BIOMASS","FH_BIO_AWIRS_4",7.1255
"BIOMASS","FH_BIO_LANGERLO_2A",2.4771
"BIOMASS","FH_BIO_RUIEN_3",3.4354
"BIOMASS","FH_BIO_RUIEN_4",3.4354
"BIOMASS","FH_ARA",6.4881
"BIOMASS","FH_NETHERLANDS",2.704725929
"BLAST_GAS","FH_BELGIUM",2.4372
"BLAST_GAS","FH_FRANCE",2.4372
"LIGNITE","FH_AUSTRIA",1.0815
"LIGNITE","FH_GERMANY",1.0815
"OTHER_GAS","FH_FRANCE",2.4372
"OTHER_GAS","FH_GERMANY",2.4372
"OTHER_GAS","FH_NETHERLANDS",2.4372
"OTHER_GAS","FH_BELGIUM",2.4372
"WASTE","FH_BE_INDAVER",3.1805
"WASTE","FH_BE_ISVAG",2.2835
"WASTE","FH_BE_SCHAARBEEK",1.5903
"WASTE","FH_BELGIUM",0
"WASTE","FH_FRANCE",0
"WASTE","FH_GERMANY",0
"WASTE","FH_NETHERLANDS",0
