"Time (CET/CEST)","Export/Import (BZN|HR)","Net position [MW]"
"20.05.2023 00:00 - 20.05.2023 01:00","Export","856"
"20.05.2023 01:00 - 20.05.2023 02:00","Export","1121"
"20.05.2023 02:00 - 20.05.2023 03:00","Export","1273"
"20.05.2023 03:00 - 20.05.2023 04:00","Export","1407"
"20.05.2023 04:00 - 20.05.2023 05:00","Export","1403"
"20.05.2023 05:00 - 20.05.2023 06:00","Export","1375"
"20.05.2023 06:00 - 20.05.2023 07:00","Export","1214"
"20.05.2023 07:00 - 20.05.2023 08:00","Export","1071"
"20.05.2023 08:00 - 20.05.2023 09:00","Export","775"
"20.05.2023 09:00 - 20.05.2023 10:00","Export","596"
"20.05.2023 10:00 - 20.05.2023 11:00","Export","340"
"20.05.2023 11:00 - 20.05.2023 12:00","Export","108"
"20.05.2023 12:00 - 20.05.2023 13:00","Export","109"
"20.05.2023 13:00 - 20.05.2023 14:00","Export","123"
"20.05.2023 14:00 - 20.05.2023 15:00","Export","56"
"20.05.2023 15:00 - 20.05.2023 16:00","Export","57"
"20.05.2023 16:00 - 20.05.2023 17:00","Export","142"
"20.05.2023 17:00 - 20.05.2023 18:00","Export","563"
"20.05.2023 18:00 - 20.05.2023 19:00","Export","509"
"20.05.2023 19:00 - 20.05.2023 20:00","Export","438"
"20.05.2023 20:00 - 20.05.2023 21:00","Export","410"
"20.05.2023 21:00 - 20.05.2023 22:00","Export","375"
"20.05.2023 22:00 - 20.05.2023 23:00","Export","659"
"20.05.2023 23:00 - 21.05.2023 00:00","Export","888"
