"Time (CET/CEST)","Export/Import (BZN|PL)","Net position [MW]"
"12.06.2023 00:00 - 12.06.2023 01:00","Export","338"
"12.06.2023 01:00 - 12.06.2023 02:00","","0"
"12.06.2023 02:00 - 12.06.2023 03:00","","0"
"12.06.2023 03:00 - 12.06.2023 04:00","","0"
"12.06.2023 04:00 - 12.06.2023 05:00","","0"
"12.06.2023 05:00 - 12.06.2023 06:00","Import","514"
"12.06.2023 06:00 - 12.06.2023 07:00","Import","730"
"12.06.2023 07:00 - 12.06.2023 08:00","Import","205"
"12.06.2023 08:00 - 12.06.2023 09:00","Export","290"
"12.06.2023 09:00 - 12.06.2023 10:00","Export","127"
"12.06.2023 10:00 - 12.06.2023 11:00","","0"
"12.06.2023 11:00 - 12.06.2023 12:00","","0"
"12.06.2023 12:00 - 12.06.2023 13:00","","0"
"12.06.2023 13:00 - 12.06.2023 14:00","","0"
"12.06.2023 14:00 - 12.06.2023 15:00","","0"
"12.06.2023 15:00 - 12.06.2023 16:00","","0"
"12.06.2023 16:00 - 12.06.2023 17:00","","0"
"12.06.2023 17:00 - 12.06.2023 18:00","Import","675"
"12.06.2023 18:00 - 12.06.2023 19:00","Import","1249"
"12.06.2023 19:00 - 12.06.2023 20:00","Import","1873"
"12.06.2023 20:00 - 12.06.2023 21:00","Import","2127"
"12.06.2023 21:00 - 12.06.2023 22:00","Import","2793"
"12.06.2023 22:00 - 12.06.2023 23:00","Import","2713"
"12.06.2023 23:00 - 13.06.2023 00:00","Import","1981"
