Time (CET/CEST),Export/Import (BZN|Cro),Net position [MW]
18.02.2023 00:00 - 18.02.2023 01:00,Import,408
18.02.2023 01:00 - 18.02.2023 02:00,Import,391
18.02.2023 02:00 - 18.02.2023 03:00,Import,321
18.02.2023 03:00 - 18.02.2023 04:00,Import,347
18.02.2023 04:00 - 18.02.2023 05:00,Import,321
18.02.2023 05:00 - 18.02.2023 06:00,Import,438
18.02.2023 06:00 - 18.02.2023 07:00,Import,286
18.02.2023 07:00 - 18.02.2023 08:00,Import,190
18.02.2023 08:00 - 18.02.2023 09:00,Import,320
18.02.2023 09:00 - 18.02.2023 10:00,Import,259
18.02.2023 10:00 - 18.02.2023 11:00,Import,441
18.02.2023 11:00 - 18.02.2023 12:00,Import,452
18.02.2023 12:00 - 18.02.2023 13:00,Import,402
18.02.2023 13:00 - 18.02.2023 14:00,Import,395
18.02.2023 14:00 - 18.02.2023 15:00,Import,435
18.02.2023 15:00 - 18.02.2023 16:00,Import,468
18.02.2023 16:00 - 18.02.2023 17:00,Import,355
18.02.2023 17:00 - 18.02.2023 18:00,Import,99
18.02.2023 18:00 - 18.02.2023 19:00,Import,68
18.02.2023 19:00 - 18.02.2023 20:00,Import,112
18.02.2023 20:00 - 18.02.2023 21:00,Import,199
18.02.2023 21:00 - 18.02.2023 22:00,Import,469
18.02.2023 22:00 - 18.02.2023 23:00,Import,501
18.02.2023 23:00 - 19.02.2023 00:00,Import,350
