Time (CET/CEST),Export/Import (BZN|Slv),Net position [MW]
18.02.2023 00:00 - 18.02.2023 01:00,Import,716
18.02.2023 01:00 - 18.02.2023 02:00,Import,680
18.02.2023 02:00 - 18.02.2023 03:00,Import,658
18.02.2023 03:00 - 18.02.2023 04:00,Import,649
18.02.2023 04:00 - 18.02.2023 05:00,Import,654
18.02.2023 05:00 - 18.02.2023 06:00,Import,688
18.02.2023 06:00 - 18.02.2023 07:00,Import,791
18.02.2023 07:00 - 18.02.2023 08:00,Import,567
18.02.2023 08:00 - 18.02.2023 09:00,Import,303
18.02.2023 09:00 - 18.02.2023 10:00,Import,256
18.02.2023 10:00 - 18.02.2023 11:00,Import,367
18.02.2023 11:00 - 18.02.2023 12:00,Import,519
18.02.2023 12:00 - 18.02.2023 13:00,Import,759
18.02.2023 13:00 - 18.02.2023 14:00,Import,683
18.02.2023 14:00 - 18.02.2023 15:00,Import,639
18.02.2023 15:00 - 18.02.2023 16:00,Import,491
18.02.2023 16:00 - 18.02.2023 17:00,Import,496
18.02.2023 17:00 - 18.02.2023 18:00,Import,317
18.02.2023 18:00 - 18.02.2023 19:00,Import,244
18.02.2023 19:00 - 18.02.2023 20:00,Import,237
18.02.2023 20:00 - 18.02.2023 21:00,Import,305
18.02.2023 21:00 - 18.02.2023 22:00,Import,414
18.02.2023 22:00 - 18.02.2023 23:00,Import,425
18.02.2023 23:00 - 19.02.2023 00:00,Import,603
