"Time (CET/CEST)","Export/Import (BZN|RO)","Net position [MW]"
"11.01.2023 00:00 - 11.01.2023 01:00","Export","2278"
"11.01.2023 01:00 - 11.01.2023 02:00","Export","2328"
"11.01.2023 02:00 - 11.01.2023 03:00","Export","2320"
"11.01.2023 03:00 - 11.01.2023 04:00","Export","2182"
"11.01.2023 04:00 - 11.01.2023 05:00","Export","1998"
"11.01.2023 05:00 - 11.01.2023 06:00","Export","1503"
"11.01.2023 06:00 - 11.01.2023 07:00","Export","1069"
"11.01.2023 07:00 - 11.01.2023 08:00","Export","867"
"11.01.2023 08:00 - 11.01.2023 09:00","Export","487"
"11.01.2023 09:00 - 11.01.2023 10:00","Export","544"
"11.01.2023 10:00 - 11.01.2023 11:00","Export","449"
"11.01.2023 11:00 - 11.01.2023 12:00","Export","499"
"11.01.2023 12:00 - 11.01.2023 13:00","Export","541"
"11.01.2023 13:00 - 11.01.2023 14:00","Export","645"
"11.01.2023 14:00 - 11.01.2023 15:00","Export","933"
"11.01.2023 15:00 - 11.01.2023 16:00","Export","917"
"11.01.2023 16:00 - 11.01.2023 17:00","Export","554"
"11.01.2023 17:00 - 11.01.2023 18:00","Export","657"
"11.01.2023 18:00 - 11.01.2023 19:00","Export","717"
"11.01.2023 19:00 - 11.01.2023 20:00","Export","886"
"11.01.2023 20:00 - 11.01.2023 21:00","Export","1099"
"11.01.2023 21:00 - 11.01.2023 22:00","Export","1376"
"11.01.2023 22:00 - 11.01.2023 23:00","Export","1694"
"11.01.2023 23:00 - 12.01.2023 00:00","Export","1465"
