"Time (CET/CEST)","Export/Import (BZN|SK)","Net position [MW]"
"11.10.2023 00:00 - 11.10.2023 01:00","Export","503"
"11.10.2023 01:00 - 11.10.2023 02:00","Export","594"
"11.10.2023 02:00 - 11.10.2023 03:00","Export","448"
"11.10.2023 03:00 - 11.10.2023 04:00","Export","460"
"11.10.2023 04:00 - 11.10.2023 05:00","Export","391"
"11.10.2023 05:00 - 11.10.2023 06:00","Export","395"
"11.10.2023 06:00 - 11.10.2023 07:00","Import","128"
"11.10.2023 07:00 - 11.10.2023 08:00","Export","148"
"11.10.2023 08:00 - 11.10.2023 09:00","Export","48"
"11.10.2023 09:00 - 11.10.2023 10:00","Import","70"
"11.10.2023 10:00 - 11.10.2023 11:00","Import","5"
"11.10.2023 11:00 - 11.10.2023 12:00","Import","192"
"11.10.2023 12:00 - 11.10.2023 13:00","Import","276"
"11.10.2023 13:00 - 11.10.2023 14:00","Import","296"
"11.10.2023 14:00 - 11.10.2023 15:00","Import","227"
"11.10.2023 15:00 - 11.10.2023 16:00","Import","73"
"11.10.2023 16:00 - 11.10.2023 17:00","Import","154"
"11.10.2023 17:00 - 11.10.2023 18:00","Export","374"
"11.10.2023 18:00 - 11.10.2023 19:00","Export","342"
"11.10.2023 19:00 - 11.10.2023 20:00","Export","385"
"11.10.2023 20:00 - 11.10.2023 21:00","Export","518"
"11.10.2023 21:00 - 11.10.2023 22:00","Export","516"
"11.10.2023 22:00 - 11.10.2023 23:00","Export","633"
"11.10.2023 23:00 - 12.10.2023 00:00","Export","458"
