country,bus,fuel,total_value
Slovenia,Slv_3,Lignite,78421.17927903496
Austria,Aus_18,Coal,23616.0
Croatia,Cro_9,Fuel Oil,18827.35724710217
Slovenia,Slv_5,Coal,10216.106008796069
Austria,Aus_7,Natural Gas,6701.802722123371
Austria,Aus_13,Natural Gas,15174.64872978004
Austria,Aus_11,Natural Gas,3267.3793452976897
Croatia,Cro_11,Natural Gas,8281.339663795345
Slovenia,Slv_6,Nuclear,70080.0
Austria,Aus_19,Natural Gas,12445.459871872234
Austria,Aus_4,Natural Gas,3360.368838082753
Croatia,Cro_15,Coal,31680.0
Hungary,Cro_12,Natural Gas,6566.399999999997
Croatia,Cro_15,Fuel Oil,0.0
Austria,Aus_18,Natural Gas,20408.378575815623
Austria,Aus_10,Natural Gas,35601.405204908544
Slovenia,Slv_6,Natural Gas,3765.735253861357
Austria,Aus_27,Natural Gas,1357.3999999999983
Austria,Aus_5,Natural Gas,80193.72663252606
Austria,Aus_32,Natural Gas,55060.895153058664
Austria,Aus_18,Fuel Oil,8318.212300781084
Austria,Aus_15,Coal,72621.11136713106
Croatia,Cro_10,Natural Gas,5768.331398972065
Croatia,Cro_9,Natural Gas,4572.20438303544
